frame,timestamp,otherActorId,otherActorType,impulseMagnitude,egoX,egoY,egoYawDeg
4621,1498.23382061347,0,static.pole,893.366816004622,-50.980224609375,121.457939147949,-176.915740966797
4622,1498.2630562149,0,static.pole,426.279915774554,-51.0461349487305,121.459281921387,-178.543243408203
4627,1498.39672261477,0,static.pole,64.4864695331256,-51.0665969848633,121.445320129395,-179.790222167969
4628,1498.5756573081,0,static.pole,73.8852695701834,-51.0664558410645,121.444770812988,-179.789291381836
4629,1498.62349490821,0,static.pole,55.1449688274334,-51.0662879943848,121.443054199219,-179.784072875977
4630,1498.65072740987,0,static.pole,52.1419099044479,-51.066276550293,121.442352294922,-179.781723022461
4631,1498.68205190822,0,static.pole,45.8403985168642,-51.0662727355957,121.441970825195,-179.78044128418
4632,1498.71532680839,0,static.pole,40.5987626743835,-51.066291809082,121.441558837891,-179.778991699219
4633,1498.73795111105,0,static.pole,40.0123095751275,-51.0662841796875,121.441177368164,-179.777801513672
4634,1498.76534181088,0,static.pole,40.4955521482484,-51.0662841796875,121.44091796875,-179.777069091797
4635,1498.7897490114,0,static.pole,39.0807175453058,-51.0662574768066,121.440620422363,-179.776245117188
4636,1498.81532951072,0,static.pole,35.7612170456267,-51.0662422180176,121.44034576416,-179.775512695312
4637,1498.84098330885,0,static.pole,33.8819942078611,-51.0662307739258,121.440086364746,-179.774795532227
4638,1498.9820593074,0,static.pole,34.660580724598,-51.066219329834,121.439819335938,-179.773895263672
4639,1499.05060600489,0,static.pole,32.3936536265209,-51.0661201477051,121.438865661621,-179.770645141602
4640,1499.08676380664,0,static.pole,29.5559593074956,-51.0659332275391,121.438301086426,-179.770278930664
4641,1499.1113971062,0,static.pole,22.298999924267,-51.0658149719238,121.438011169434,-179.770156860352
4642,1499.13438590616,0,static.pole,23.0840664277784,-51.0657653808594,121.437850952148,-179.76985168457
4643,1499.15975860506,0,static.pole,25.087080474757,-51.0656967163086,121.437705993652,-179.769989013672
4644,1499.18134430423,0,static.pole,17.8739492256508,-51.0656394958496,121.437538146973,-179.769805908203
4645,1499.20426030457,0,static.pole,21.5108965829644,-51.065601348877,121.43741607666,-179.769393920898
4646,1499.22893870622,0,static.pole,20.0335855227878,-51.0655403137207,121.437294006348,-179.76936340332
4647,1499.25088650733,0,static.pole,17.048110501173,-51.0654716491699,121.437156677246,-179.769592285156
4648,1499.27270840481,0,static.pole,13.4902506466155,-51.0654182434082,121.437026977539,-179.769485473633
4649,1499.29479670525,0,static.pole,15.2232579370898,-51.0653686523438,121.436920166016,-179.769393920898
4650,1499.32053180411,0,static.pole,16.059959270729,-51.0653343200684,121.436813354492,-179.769165039062
4651,1499.34394080564,0,static.pole,15.6004658384496,-51.0652809143066,121.436683654785,-179.769180297852
4652,1499.36954630539,0,static.pole,20.7158382721151,-51.0652465820312,121.436576843262,-179.768936157227
4653,1499.38999250531,0,static.pole,10.9972612881526,-51.0651931762695,121.436462402344,-179.768676757812
4654,1499.4156807065,0,static.pole,16.3109199788254,-51.0651588439941,121.436386108398,-179.7685546875
4655,1499.43588070571,0,static.pole,15.4790180697927,-51.0651054382324,121.436294555664,-179.768295288086
4656,1499.46700320765,0,static.pole,13.8283668893993,-51.0650901794434,121.436241149902,-179.767547607422
4657,1499.48765910417,0,static.pole,16.513205437777,-51.0650825500488,121.436172485352,-179.766799926758
4658,1499.50735910609,0,static.pole,10.53050672336,-51.0650444030762,121.436103820801,-179.766632080078
4659,1499.52960380539,0,static.pole,14.4628666963152,-51.0650329589844,121.436080932617,-179.766586303711
4660,1499.55405960605,0,static.pole,10.3847842795247,-51.064998626709,121.436012268066,-179.766326904297
4661,1499.5758575052,0,static.pole,19.889621851051,-51.0649642944336,121.435943603516,-179.766128540039
4670,1499.77567570657,0,static.pole,51.3074547242882,-51.0627136230469,121.435829162598,-179.738418579102
4671,1499.79703330621,0,static.pole,16.3751437617813,-51.0637626647949,121.435722351074,-179.765029907227
4672,1499.81795900688,0,static.pole,6.87639608049867,-51.0644950866699,121.43537902832,-179.790191650391
4673,1499.8391088061,0,static.pole,4.14618427241221,-51.0651359558105,121.435203552246,-179.806564331055
4674,1499.86047610641,0,static.pole,7.19298930587466,-51.0658340454102,121.435020446777,-179.825454711914
4675,1499.87987180427,0,static.pole,87.0838635900857,-51.0666542053223,121.434776306152,-179.848556518555
4677,1499.92506660521,0,static.pole,5.15712943352992,-51.0674934387207,121.434135437012,-179.894653320312
4678,1499.94551920518,0,static.pole,43.3505766643783,-51.0683441162109,121.43391418457,-179.915512084961
4679,1499.96411650628,0,static.pole,95.9550244661039,-51.0692939758301,121.433769226074,-179.940032958984
4680,1499.98531120643,0,static.pole,17.6279863288044,-51.0697975158691,121.433181762695,-179.975112915039
4681,1500.00965200737,0,static.pole,13.8088057990181,-51.0707054138184,121.433013916016,179.998641967773
4682,1500.03063540533,0,static.pole,37.8033074914237,-51.0715751647949,121.43270111084,179.972640991211
4683,1500.05216000602,0,static.pole,49.6528205559437,-51.0722045898438,121.432357788086,179.947341918945
4684,1500.07429670542,0,static.pole,19.3341895175133,-51.0728607177734,121.432006835938,179.921127319336
4685,1500.09633150697,0,static.pole,43.8918625210043,-51.0736999511719,121.431716918945,179.896759033203
4686,1500.11866780743,0,static.pole,38.8596158983405,-51.074462890625,121.431442260742,179.87678527832
4687,1500.139976006,0,static.pole,46.3614680348222,-51.0752334594727,121.431053161621,179.847717285156
4688,1500.16155040637,0,static.pole,8.23598865492418,-51.0757331848145,121.430809020996,179.828521728516
4689,1500.18361760676,0,static.pole,68.0463075280351,-51.0764427185059,121.430526733398,179.807556152344
4690,1500.3623612076,0,static.pole,25.3641099183751,-51.0772171020508,121.430198669434,179.785369873047
4691,1500.41555370763,0,static.pole,1.570151128263,-51.0805473327637,121.429008483887,179.711486816406
4692,1500.4483214058,0,static.pole,52.248687571441,-51.0821571350098,121.428268432617,179.666473388672
4693,1500.47471660748,0,static.pole,5.68575098899129,-51.0831336975098,121.427673339844,179.628280639648
4694,1500.66369741037,0,static.pole,0.0457217472331852,-51.0841064453125,121.427177429199,179.593475341797
4695,1500.72470321134,0,static.pole,21.0284399252028,-51.0880355834961,121.425468444824,179.472274780273
4696,1500.75217770785,0,static.pole,92.0459043192126,-51.0897369384766,121.424522399902,179.415222167969
4697,1500.77912830934,0,static.pole,30.4610247865843,-51.0906105041504,121.424217224121,179.3974609375
4698,1500.80659161136,0,static.pole,20.3890844202633,-51.0916442871094,121.423667907715,179.360107421875
4699,1500.82892480865,0,static.pole,3.55480227193422,-51.0927200317383,121.423179626465,179.326812744141
4700,1500.85247920826,0,static.pole,63.4352085356782,-51.0935859680176,121.422889709473,179.316482543945
4701,1501.04562880471,0,static.pole,2.05507998604436,-51.0941505432129,121.422294616699,179.291885375977
4702,1501.07781750709,0,static.pole,62.4951888966865,-51.0984039306641,121.420791625977,179.177597045898
4703,1501.10594220459,0,static.pole,28.9646094976697,-51.0997467041016,121.420082092285,179.131042480469
4704,1501.13246520609,0,static.pole,44.150653769646,-51.1007270812988,121.41968536377,179.11799621582
4705,1501.16174310446,0,static.pole,62.4684105488231,-51.1013526916504,121.419296264648,179.095153808594
4706,1501.18597800657,0,static.pole,53.5575151629924,-51.1021614074707,121.418701171875,179.065017700195
4707,1501.21131020412,0,static.pole,37.3450081937218,-51.1027908325195,121.418327331543,179.052536010742
4708,1501.23497610539,0,static.pole,71.8030058789576,-51.1035690307617,121.417816162109,179.013977050781
4709,1501.26087850705,0,static.pole,24.9345823719857,-51.1043968200684,121.417388916016,178.984939575195
4710,1501.28304640576,0,static.pole,41.9522806195474,-51.1049499511719,121.416839599609,178.949813842773
4711,1501.30389870703,0,static.pole,97.9215449549005,-51.106258392334,121.416305541992,178.904525756836
4712,1501.32640200481,0,static.pole,81.1371624699137,-51.1076202392578,121.415756225586,178.859100341797
4713,1501.3476444073,0,static.pole,76.5276925357055,-51.1090698242188,121.414863586426,178.78434753418
4714,1501.37134590745,0,static.pole,79.7141978413286,-51.1103096008301,121.414398193359,178.740966796875
4715,1501.39177700505,0,static.pole,81.5143408068849,-51.1121368408203,121.41333770752,178.644348144531
4716,1501.41196450591,0,static.pole,79.0410346206481,-51.1137580871582,121.41242980957,178.556793212891
4717,1501.43408590555,0,static.pole,88.0739796111543,-51.115348815918,121.411598205566,178.470825195312
4718,1501.45393050462,0,static.pole,118.165328502055,-51.1171379089355,121.410682678223,178.37321472168
4719,1501.47489960492,0,static.pole,87.8816745122734,-51.1188163757324,121.409805297852,178.280471801758
4720,1501.49870000407,0,static.pole,98.9388856924444,-51.120532989502,121.408805847168,178.186111450195
4721,1501.51860930771,0,static.pole,124.201158530541,-51.1225090026855,121.407646179199,178.076431274414
4722,1501.54104180634,0,static.pole,98.0214553988466,-51.1242179870605,121.406639099121,177.980880737305
4723,1501.56175370514,0,static.pole,90.2180254090337,-51.1260719299316,121.405433654785,177.877487182617
4724,1501.58275860548,0,static.pole,91.8457705862542,-51.127758026123,121.404335021973,177.783294677734
4725,1501.61071460694,0,static.pole,120.527668015267,-51.1294555664062,121.403221130371,177.688064575195
4726,1501.63352290541,0,static.pole,102.032370665469,-51.1317710876465,121.401664733887,177.556793212891
4727,1501.6587632075,0,static.pole,112.1509470971,-51.133602142334,121.400360107422,177.452941894531
4728,1501.68079480529,0,static.pole,100.112165775052,-51.1356391906738,121.398895263672,177.337265014648
4729,1501.70296120644,0,static.pole,101.894232686455,-51.1373672485352,121.397605895996,177.238433837891
4730,1501.72538520768,0,static.pole,103.784237062526,-51.1390991210938,121.396308898926,177.139587402344
4731,1501.86323149875,0,static.pole,142.089897077661,-51.1408576965332,121.394996643066,177.039672851562
4732,1501.91800299659,0,static.pole,118.820443827624,-51.1491203308105,121.388427734375,176.567764282227
4733,1501.95939959958,0,static.pole,103.090508300706,-51.1534576416016,121.38484954834,176.323028564453
4734,1501.99251149967,0,static.pole,120.953191827833,-51.156852722168,121.381950378418,176.128952026367
4735,1502.16445629671,0,static.pole,135.335271852834,-51.1596336364746,121.379623413086,175.968734741211
4736,1502.23306209967,0,static.pole,122.074334615355,-51.1683540344238,121.372604370117,175.48356628418
4737,1502.26452299953,0,static.pole,102.67943542101,-51.1745452880859,121.367362976074,175.130950927734
4738,1502.29249049723,0,static.pole,148.794027949131,-51.1776008605957,121.365058898926,174.975631713867
4739,1502.31584670022,0,static.pole,106.69042306821,-51.1801795959473,121.363059997559,174.834320068359
4740,1502.50641359761,0,static.pole,142.992499419049,-51.1822662353516,121.361618041992,174.735885620117
4741,1502.54811279848,0,static.pole,125.992702390014,-51.1912307739258,121.354530334473,174.252944946289
4742,1502.57299569994,0,static.pole,115.351370931726,-51.1947174072266,121.351547241211,174.056030273438
4743,1502.60254499689,0,static.pole,132.134213289221,-51.1971092224121,121.349830627441,173.939712524414
4744,1502.62546289712,0,static.pole,110.849844717087,-51.1996879577637,121.34765625,173.796249389648
4745,1502.64756969735,0,static.pole,103.563593059599,-51.2017021179199,121.34595489502,173.68327331543
4746,1502.66809109971,0,static.pole,93.2865382035051,-51.2035980224609,121.344398498535,173.576858520508
4747,1502.69296529889,0,static.pole,110.862767334719,-51.2052955627441,121.343132019043,173.488510131836
4748,1502.71601449698,0,static.pole,112.148528771017,-51.2073631286621,121.341445922852,173.37336730957
4749,1502.73612139747,0,static.pole,101.434207919881,-51.2093696594238,121.339881896973,173.266967773438
4750,1502.75929659978,0,static.pole,107.061954049269,-51.2110443115234,121.338500976562,173.176315307617
4751,1502.77976039797,0,static.pole,83.9031536012477,-51.2129173278809,121.336952209473,173.073028564453
4752,1502.80266099796,0,static.pole,109.54636234428,-51.2147216796875,121.335670471191,172.986831665039
4753,1502.8254750967,0,static.pole,102.092429230795,-51.2166213989258,121.334144592285,172.884735107422
4754,1502.8454005979,0,static.pole,133.767461142379,-51.2184715270996,121.332633972168,172.784866333008
4755,1502.86349099874,0,static.pole,116.889508740126,-51.2201652526855,121.331260681152,172.692123413086
4756,1502.88412389904,0,static.pole,77.5357942246674,-51.2216606140137,121.32999420166,172.608688354492
4757,1502.9065733999,0,static.pole,100.134573690006,-51.2235260009766,121.328651428223,172.518585205078
4758,1502.92689630017,0,static.pole,92.5204185401488,-51.2253761291504,121.3271484375,172.418960571289
4759,1502.94776649773,0,static.pole,97.6506513309873,-51.2270088195801,121.325805664062,172.331359863281
4760,1502.96850079671,0,static.pole,101.210964921947,-51.2286796569824,121.324478149414,172.241165161133
4761,1502.98822489753,0,static.pole,126.202314463141,-51.2303657531738,121.323150634766,172.151077270508
4762,1503.00974519923,0,static.pole,105.376374830454,-51.2320137023926,121.321853637695,172.061126708984
4763,1503.03154049814,0,static.pole,100.79306467939,-51.2337913513184,121.320388793945,171.963684082031
4764,1503.05276709795,0,static.pole,101.051393150274,-51.2355995178223,121.318916320801,171.864440917969
4765,1503.07333229855,0,static.pole,95.1847371476659,-51.2375221252441,121.317543029785,171.768859863281
4766,1503.09445849806,0,static.pole,99.9812343765433,-51.2392845153809,121.31623840332,171.676635742188
4767,1503.11586669832,0,static.pole,100.06367230715,-51.2410125732422,121.314888000488,171.583618164062
4768,1503.1401357986,0,static.pole,105.09923803575,-51.242805480957,121.313545227051,171.489151000977
4769,1503.1615944989,0,static.pole,103.849950832517,-51.2448806762695,121.311958312988,171.377380371094
4770,1503.18481859937,0,static.pole,110.770830244104,-51.2467231750488,121.310485839844,171.278137207031
4771,1503.20716840029,0,static.pole,77.6806294864148,-51.2487869262695,121.308921813965,171.166275024414
4772,1503.40105099976,0,static.pole,133.258222573067,-51.2507209777832,121.307495117188,171.068313598633
4773,1503.45538079739,0,static.pole,121.226554219692,-51.2596893310547,121.300552368164,170.57844543457
4774,1503.48794259876,0,static.pole,115.621171856536,-51.2646675109863,121.297058105469,170.326614379883
4775,1503.51554320008,0,static.pole,123.111427306562,-51.2675285339355,121.294898986816,170.1728515625
4776,1503.71352709085,0,static.pole,138.628476916568,-51.270076751709,121.292991638184,170.03564453125
4777,1503.76774879172,0,static.pole,124.634788614689,-51.279541015625,121.286491394043,169.545318603516
4778,1503.80183069035,0,static.pole,130.176442306303,-51.2843246459961,121.282920837402,169.29377746582
4779,1504.00894049928,0,static.pole,142.540386891856,-51.287410736084,121.280776977539,169.130889892578
4780,1504.06708979979,0,static.pole,147.549427584825,-51.2966918945312,121.274673461914,168.647811889648
4781,1504.11493190005,0,static.pole,144.333173239071,-51.3020896911621,121.270957946777,168.371017456055
4782,1504.31621270254,0,static.pole,148.67558329985,-51.3064422607422,121.267959594727,168.145782470703
