tick,matlabTime,carlaTime,dt,egoX,egoY,egoZ,egoYaw,egoSpeed,vxDerived,vyDerived,throttle,brake,steerDeg,targetSpeed,decisionState,selectedCandidate,k2Active,feasibleCount,cteApprox,headErrDeg,cumCollisionCount,newEventsThisTick,goalDist
1,0.6723,21.386,0.1000,-63.900,-135.420,0.000,0.0227,0.000,0.000,0.000,1.000,0.000,0.00,4.00,cruise,8,0,15,0.000,-0.00,0,0,68.368
2,0.8302,21.961,0.6189,-63.900,-135.420,0.000,0.0227,0.000,0.000,0.000,1.000,0.000,0.00,4.00,cruise,8,0,15,0.000,-0.00,0,0,68.368
3,0.9274,22.092,0.1550,-63.900,-135.420,0.000,0.0227,0.000,0.000,0.000,1.000,0.000,0.00,4.00,cruise,8,0,15,0.000,-0.00,0,0,68.368
4,1.0205,22.212,0.1144,-63.900,-135.420,0.000,0.0227,0.000,0.000,0.000,1.000,0.000,0.00,3.20,merge,8,0,15,0.000,-0.00,0,0,68.368
5,1.2207,22.332,0.1109,-63.900,-135.420,0.000,0.0227,0.004,0.004,0.000,1.000,0.000,-6.66,3.20,merge,6,0,11,0.000,-0.00,0,0,68.368
6,1.2712,22.474,0.1576,-63.703,-135.416,0.000,0.0220,2.316,2.315,0.051,0.442,0.000,0.08,3.20,merge,8,0,13,0.001,-0.04,0,0,68.202
7,1.3799,22.587,0.1089,-63.380,-135.423,0.000,0.0126,3.259,3.259,0.041,0.000,0.010,1.17,3.20,merge,8,0,10,0.015,-0.58,0,0,67.937
8,1.4889,22.699,0.1106,-62.986,-135.416,0.000,0.0148,3.662,3.662,0.054,0.000,0.077,7.32,3.20,merge,9,0,7,0.017,-0.45,0,0,67.607
9,1.5900,22.810,0.1108,-62.581,-135.395,0.000,0.0257,3.616,3.614,0.093,0.000,0.069,0.68,3.20,merge,8,0,8,0.005,0.18,0,0,67.261
10,1.7013,22.924,0.1094,-62.183,-135.359,0.000,0.0425,3.456,3.452,0.147,0.000,0.043,5.72,3.20,merge,9,0,7,0.022,1.13,0,0,66.911
11,1.8170,23.036,0.1109,-61.808,-135.329,0.000,0.0529,3.271,3.267,0.173,0.000,0.012,12.37,3.20,merge,15,0,1,0.044,1.73,0,0,66.585
12,1.9216,23.137,0.1086,-61.490,-135.278,0.000,0.0775,3.093,3.084,0.239,0.054,0.000,5.86,3.20,merge,4,1,0,0.088,3.14,0,0,66.295
13,2.0230,23.245,0.1086,-61.175,-135.207,0.000,0.1080,2.975,2.958,0.321,0.112,0.000,-0.66,3.20,merge,5,1,0,0.151,4.89,0,0,65.996
14,2.1416,23.360,0.1120,-60.842,-135.158,0.000,0.1150,2.882,2.863,0.331,0.159,0.000,-7.38,3.20,merge,1,1,0,0.193,5.29,0,0,65.694
15,2.2602,23.475,0.1112,-60.514,-135.133,0.000,0.1049,2.819,2.803,0.295,0.191,0.000,-14.05,3.20,merge,1,1,0,0.210,4.71,0,0,65.413
16,2.3570,23.578,0.1114,-60.227,-135.140,0.000,0.0779,2.776,2.768,0.216,0.212,0.000,-20.73,3.20,merge,1,1,0,0.196,3.16,0,0,65.182
17,2.4768,23.690,0.1082,-59.928,-135.187,0.000,0.0287,2.732,2.730,0.078,0.234,0.000,-27.23,3.20,merge,1,1,0,0.143,0.34,0,0,64.965
18,2.5872,23.806,0.1117,-59.636,-135.280,0.000,-0.0423,2.688,2.685,-0.114,0.256,0.000,-20.52,3.20,merge,15,1,0,0.043,-3.72,0,0,64.782
19,2.6974,23.916,0.1098,-59.369,-135.398,0.000,-0.1145,2.793,2.775,-0.319,0.004,0.000,-13.93,2.80,avoid,15,1,0,0.081,-7.86,0,0,64.634
20,2.8069,24.025,0.1110,-59.087,-135.514,0.000,-0.1689,2.857,2.816,-0.480,0.000,0.010,-7.27,2.80,avoid,15,1,0,0.203,-10.98,0,0,64.474
21,2.9113,24.133,0.1100,-58.803,-135.615,0.000,-0.2026,2.791,2.734,-0.562,0.004,0.000,-0.67,2.80,avoid,15,1,0,0.311,-12.91,0,0,64.305
22,3.0575,24.253,0.1117,-58.487,-135.703,0.000,-0.2158,2.662,2.600,-0.570,0.069,0.000,6.03,2.80,avoid,15,1,0,0.406,-13.67,0,0,64.104
23,3.1465,24.364,0.1120,-58.205,-135.763,0.000,-0.2139,2.539,2.481,-0.539,0.130,0.000,12.75,2.80,avoid,14,0,2,0.472,-13.55,0,0,63.913
24,3.2534,24.473,0.1095,-57.938,-135.790,0.000,-0.1917,2.437,2.393,-0.464,0.181,0.000,19.32,2.80,avoid,14,0,2,0.505,-12.28,0,0,63.716
25,3.3782,24.593,0.1110,-57.651,-135.781,0.000,-0.1469,2.373,2.347,-0.347,0.214,0.000,25.98,2.80,avoid,8,0,15,0.503,-9.72,0,0,63.482
26,3.4817,24.702,0.1095,-57.405,-135.739,0.000,-0.0918,2.338,2.328,-0.214,0.231,0.000,22.65,2.80,avoid,8,0,15,0.466,-6.56,0,0,63.260
