tick,matlabTime,carlaEventTime,otherActorId,otherActorType,impulseMagnitude,egoXAtImpact,egoYAtImpact,egoYawDegAtImpact
185,21.0695,42.256,116,vehicle.mitsubishi.fusorosa,311.906,-37.475,135.035,-13.26
185,21.0701,42.268,116,vehicle.mitsubishi.fusorosa,86.673,-37.469,135.035,-13.24
185,21.0702,42.293,116,vehicle.mitsubishi.fusorosa,173.578,-37.458,135.036,-13.16
185,21.0703,42.307,116,vehicle.mitsubishi.fusorosa,149.507,-37.452,135.036,-13.11
186,21.1925,42.320,116,vehicle.mitsubishi.fusorosa,59.569,-37.448,135.036,-13.11
186,21.1934,42.333,116,vehicle.mitsubishi.fusorosa,38.701,-37.445,135.036,-13.09
186,21.1937,42.346,116,vehicle.mitsubishi.fusorosa,70.936,-37.441,135.036,-13.08
186,21.1939,42.359,116,vehicle.mitsubishi.fusorosa,45.458,-37.439,135.036,-13.07
186,21.1939,42.372,116,vehicle.mitsubishi.fusorosa,40.257,-37.436,135.036,-13.06
186,21.1939,42.384,116,vehicle.mitsubishi.fusorosa,45.868,-37.434,135.036,-13.05
186,21.1940,42.396,116,vehicle.mitsubishi.fusorosa,39.370,-37.431,135.036,-13.04
186,21.1940,42.409,116,vehicle.mitsubishi.fusorosa,43.141,-37.429,135.036,-13.04
186,21.1940,42.422,116,vehicle.mitsubishi.fusorosa,35.839,-37.426,135.036,-13.04
187,21.2737,42.436,116,vehicle.mitsubishi.fusorosa,31.701,-37.423,135.036,-13.03
187,21.2738,42.449,116,vehicle.mitsubishi.fusorosa,37.816,-37.420,135.036,-13.03
187,21.2739,42.462,116,vehicle.mitsubishi.fusorosa,116.620,-37.417,135.036,-13.02
187,21.2739,42.475,116,vehicle.mitsubishi.fusorosa,23.231,-37.415,135.036,-13.01
187,21.2740,42.488,116,vehicle.mitsubishi.fusorosa,26.311,-37.412,135.036,-12.99
187,21.2740,42.501,116,vehicle.mitsubishi.fusorosa,0.346,-37.409,135.036,-12.96
187,21.2740,42.514,116,vehicle.mitsubishi.fusorosa,47.610,-37.406,135.037,-12.89
188,21.3809,42.527,116,vehicle.mitsubishi.fusorosa,4.005,-37.402,135.038,-12.82
188,21.3810,42.539,116,vehicle.mitsubishi.fusorosa,117.614,-37.397,135.039,-12.71
188,21.3811,42.552,116,vehicle.mitsubishi.fusorosa,42.112,-37.393,135.040,-12.65
188,21.3811,42.564,116,vehicle.mitsubishi.fusorosa,46.659,-37.388,135.041,-12.60
188,21.3811,42.578,116,vehicle.mitsubishi.fusorosa,43.225,-37.382,135.042,-12.53
188,21.3812,42.591,116,vehicle.mitsubishi.fusorosa,48.577,-37.376,135.042,-12.47
188,21.3812,42.605,116,vehicle.mitsubishi.fusorosa,28.707,-37.369,135.043,-12.39
188,21.3812,42.619,116,vehicle.mitsubishi.fusorosa,43.001,-37.362,135.044,-12.30
189,21.4924,42.639,116,vehicle.mitsubishi.fusorosa,167.881,-37.354,135.045,-12.21
189,21.4927,42.652,116,vehicle.mitsubishi.fusorosa,41.641,-37.344,135.047,-12.11
189,21.4927,42.702,116,vehicle.mitsubishi.fusorosa,42.174,-37.309,135.049,-11.65
189,21.4928,42.715,116,vehicle.mitsubishi.fusorosa,23.807,-37.298,135.051,-11.51
189,21.4928,42.727,116,vehicle.mitsubishi.fusorosa,20.630,-37.285,135.052,-11.36
190,21.5997,42.741,116,vehicle.mitsubishi.fusorosa,25.033,-37.272,135.053,-11.21
190,21.5998,42.754,116,vehicle.mitsubishi.fusorosa,84.193,-37.257,135.055,-11.03
190,21.5998,42.766,116,vehicle.mitsubishi.fusorosa,37.323,-37.242,135.056,-10.90
190,21.5999,42.778,116,vehicle.mitsubishi.fusorosa,37.283,-37.228,135.057,-10.79
190,21.5999,42.790,116,vehicle.mitsubishi.fusorosa,36.803,-37.212,135.057,-10.69
190,21.5999,42.802,116,vehicle.mitsubishi.fusorosa,33.830,-37.197,135.057,-10.60
190,21.6000,42.815,116,vehicle.mitsubishi.fusorosa,33.400,-37.181,135.057,-10.50
190,21.6000,42.828,116,vehicle.mitsubishi.fusorosa,35.139,-37.163,135.058,-10.39
190,21.6001,42.840,116,vehicle.mitsubishi.fusorosa,32.095,-37.147,135.058,-10.29
191,21.7124,42.853,116,vehicle.mitsubishi.fusorosa,34.796,-37.129,135.058,-10.18
191,21.7125,42.866,116,vehicle.mitsubishi.fusorosa,175.135,-37.111,135.057,-10.07
191,21.7125,42.878,116,vehicle.mitsubishi.fusorosa,38.644,-37.095,135.057,-10.01
191,21.7126,42.890,116,vehicle.mitsubishi.fusorosa,36.530,-37.079,135.056,-9.95
191,21.7126,42.902,116,vehicle.mitsubishi.fusorosa,34.987,-37.063,135.055,-9.91
191,21.7126,42.914,116,vehicle.mitsubishi.fusorosa,33.873,-37.047,135.054,-9.86
191,21.7127,42.926,116,vehicle.mitsubishi.fusorosa,34.541,-37.029,135.052,-9.82
191,21.7127,42.939,116,vehicle.mitsubishi.fusorosa,32.256,-37.013,135.051,-9.77
191,21.7128,42.953,116,vehicle.mitsubishi.fusorosa,30.827,-36.996,135.049,-9.72
192,21.8148,42.970,116,vehicle.mitsubishi.fusorosa,35.282,-36.975,135.048,-9.66
192,21.8149,42.982,116,vehicle.mitsubishi.fusorosa,210.178,-36.952,135.046,-9.61
192,21.8150,42.994,116,vehicle.mitsubishi.fusorosa,39.278,-36.935,135.044,-9.59
192,21.8150,43.007,116,vehicle.mitsubishi.fusorosa,34.388,-36.920,135.041,-9.58
192,21.8150,43.018,116,vehicle.mitsubishi.fusorosa,37.605,-36.904,135.039,-9.57
192,21.8151,43.030,116,vehicle.mitsubishi.fusorosa,34.770,-36.888,135.036,-9.56
192,21.8151,43.043,116,vehicle.mitsubishi.fusorosa,38.444,-36.872,135.034,-9.56
192,21.8151,43.056,116,vehicle.mitsubishi.fusorosa,39.017,-36.855,135.031,-9.56
193,21.9430,43.069,116,vehicle.mitsubishi.fusorosa,41.638,-36.837,135.028,-9.56
193,21.9431,43.083,116,vehicle.mitsubishi.fusorosa,244.461,-36.818,135.025,-9.55
193,21.9432,43.095,116,vehicle.mitsubishi.fusorosa,47.433,-36.802,135.023,-9.55
193,21.9432,43.108,116,vehicle.mitsubishi.fusorosa,41.678,-36.788,135.021,-9.53
193,21.9432,43.120,116,vehicle.mitsubishi.fusorosa,45.661,-36.774,135.019,-9.51
193,21.9433,43.132,116,vehicle.mitsubishi.fusorosa,43.510,-36.759,135.017,-9.48
193,21.9433,43.144,116,vehicle.mitsubishi.fusorosa,42.536,-36.745,135.016,-9.43
193,21.9433,43.156,116,vehicle.mitsubishi.fusorosa,43.934,-36.731,135.015,-9.38
193,21.9434,43.168,116,vehicle.mitsubishi.fusorosa,26.825,-36.717,135.014,-9.33
193,21.9434,43.181,116,vehicle.mitsubishi.fusorosa,37.180,-36.702,135.013,-9.26
194,22.0520,43.194,116,vehicle.mitsubishi.fusorosa,42.296,-36.686,135.012,-9.20
