tick,matlabTime,carlaTime,dt,egoX,egoY,egoZ,egoYaw,egoSpeed,vxDerived,vyDerived,throttle,brake,steerDeg,targetSpeed,decisionState,selectedCandidate,k2Active,feasibleCount,cteApprox,headErrDeg,cumCollisionCount,newEventsThisTick,goalDist
1,0.6752,19.406,0.1000,-63.900,-135.420,0.000,0.0227,0.000,0.000,0.000,1.000,0.000,0.00,4.00,cruise,8,0,15,0.000,-0.00,0,0,68.368
2,0.8287,19.971,0.6192,-63.900,-135.420,0.000,0.0227,0.000,0.000,0.000,1.000,0.000,0.00,4.00,cruise,8,0,15,0.000,-0.00,0,0,68.368
3,0.9194,20.119,0.1504,-63.900,-135.420,0.000,0.0227,0.000,0.000,0.000,1.000,0.000,0.00,4.00,cruise,8,0,15,0.000,-0.00,0,0,68.368
4,1.0032,20.225,0.1006,-63.900,-135.420,0.000,0.0227,0.000,0.000,0.000,1.000,0.000,0.00,4.00,cruise,8,0,13,0.000,-0.00,0,0,68.368
5,1.2064,20.352,0.1107,-63.900,-135.420,0.000,0.0227,0.004,0.004,0.000,1.000,0.000,6.64,4.00,cruise,11,0,10,0.000,-0.00,0,0,68.368
6,1.2601,20.491,0.1624,-63.710,-135.415,0.000,0.0231,2.274,2.273,0.053,0.863,0.000,10.35,4.00,cruise,9,0,14,0.001,0.03,0,0,68.207
7,1.3591,20.595,0.1070,-63.425,-135.385,0.000,0.0410,3.154,3.151,0.129,0.423,0.000,3.93,4.00,cruise,8,0,15,0.024,1.05,0,0,67.953
8,1.4709,20.711,0.1111,-63.018,-135.323,0.000,0.0708,3.842,3.833,0.272,0.079,0.000,8.52,4.00,cruise,10,0,6,0.077,2.76,0,0,67.581
9,1.5778,20.816,0.1113,-62.604,-135.259,0.000,0.0950,4.071,4.053,0.386,0.000,0.212,1.84,2.80,avoid,1,1,0,0.132,4.14,0,0,67.203
10,1.6978,20.933,0.1088,-62.138,-135.172,0.000,0.1213,3.991,3.962,0.483,0.000,0.199,-4.68,2.80,avoid,1,1,0,0.208,5.65,0,0,66.769
11,1.7909,21.036,0.1111,-61.744,-135.119,0.000,0.1232,3.776,3.748,0.464,0.000,0.163,-11.35,2.80,avoid,2,0,2,0.252,5.76,0,0,66.414
12,1.9104,21.156,0.1100,-61.309,-135.105,0.000,0.0942,3.480,3.465,0.327,0.000,0.113,-17.26,2.80,avoid,7,1,0,0.256,4.10,0,0,66.048
13,2.0138,21.262,0.1100,-60.958,-135.137,0.000,0.0481,3.231,3.227,0.155,0.000,0.072,-23.86,2.80,avoid,3,0,3,0.216,1.46,0,0,65.778
14,2.1320,21.377,0.1106,-60.618,-135.218,0.000,-0.0195,2.969,2.968,-0.058,0.000,0.028,-30.50,2.80,avoid,1,1,0,0.128,-2.42,0,0,65.546
15,2.2455,21.488,0.1101,-60.338,-135.338,0.000,-0.1002,2.727,2.713,-0.273,0.037,0.000,-35.00,2.80,avoid,1,1,0,0.001,-7.04,0,0,65.386
16,2.3392,21.587,0.1101,-60.135,-135.476,0.000,-0.1840,2.537,2.494,-0.464,0.131,0.000,-35.00,2.80,avoid,1,1,0,0.142,-11.84,0,0,65.302
17,2.4645,21.709,0.1109,-59.937,-135.674,0.000,-0.2936,2.452,2.347,-0.710,0.174,0.000,-32.30,2.80,avoid,1,1,0,0.344,-18.12,0,0,65.256
18,2.5725,21.817,0.1104,-59.776,-135.865,0.000,-0.3872,2.472,2.289,-0.934,0.164,0.000,-25.68,2.80,avoid,8,0,6,0.538,-23.48,0,0,65.238
19,2.6813,21.925,0.1109,-59.612,-136.062,0.000,-0.4687,2.543,2.269,-1.149,0.129,0.000,-19.02,2.80,avoid,7,0,7,0.739,-28.16,0,0,65.222
20,2.7822,22.030,0.1093,-59.435,-136.256,0.000,-0.5308,2.594,2.237,-1.313,0.103,0.000,-12.47,2.80,avoid,7,0,7,0.937,-31.71,0,0,65.195
21,2.8964,22.144,0.1100,-59.227,-136.462,0.000,-0.5781,2.607,2.183,-1.425,0.096,0.000,-5.87,2.80,avoid,3,0,1,1.148,-34.42,0,0,65.151
22,3.0141,22.257,0.1120,-59.009,-136.656,0.000,-0.6057,2.586,2.126,-1.472,0.107,0.000,0.86,2.80,avoid,4,1,0,1.346,-36.00,0,0,65.093
23,3.1167,22.371,0.1113,-58.777,-136.832,0.000,-0.6130,2.541,2.078,-1.462,0.129,0.000,7.53,2.80,avoid,12,0,4,1.528,-36.42,0,0,65.014
24,3.2350,22.482,0.1105,-58.541,-136.980,0.000,-0.6018,2.494,2.056,-1.412,0.153,0.000,14.16,2.80,avoid,13,0,3,1.681,-35.78,0,0,64.917
25,3.3486,22.594,0.1106,-58.294,-137.102,0.000,-0.5736,2.447,2.056,-1.328,0.176,0.000,20.80,2.80,avoid,1,1,0,1.809,-34.16,0,0,64.795
26,3.4524,22.698,0.1120,-58.059,-137.185,0.000,-0.5323,2.402,2.070,-1.219,0.199,0.000,27.52,2.80,avoid,1,1,0,1.897,-31.80,0,0,64.660
