tick,egoSpeed,throttle,brake,steerDeg,decisionState,selectedCandidate,goalDistance,headingErrorDeg,collisionCount,newCollisionCount
1,0,1,0,7.39632861247437e-13,cruise,8,68.3676134437532,1.79939881103798e-12,0,0
2,3.38549684198606e-08,1,0,7.39632861247437e-13,merge,8,68.3676134437532,1.79939881103798e-12,0,0
3,6.65651595458569e-09,1,0,7.39632861247437e-13,merge,8,68.3676134437532,1.79939881103798e-12,0,0
4,3.39074775960911e-08,1,0,7.39632861247437e-13,merge,8,68.3676134437532,1.79939881103798e-12,0,0
5,1.04474961312611,1,0,-0.000564556141899837,merge,8,68.3415948782128,-0.00027453900005534,0,0
6,3.10526681646498,0,0.0508778027441633,-12.1064405561419,avoid,1,68.0050140195093,-0.000366330147202549,0,0
7,3.89275400291379,0,0.182125667152298,-5.4822005561419,avoid,14,67.6698940224788,0.325134575367999,0,0
8,4.08314669167678,0,0.21385778194613,1.2188994438581,avoid,14,67.3197786440614,1.86766672134302,0,0
9,3.93099620623827,0,0.188499367706378,7.8923934438581,avoid,15,66.9769955117544,2.78918087482818,0,0
10,3.67271089828584,0,0.145451816380974,14.5745514438581,avoid,15,66.6193840222999,2.04933637380785,0,0
11,3.40026978849996,0,0.100044964749993,7.9967694438581,avoid,1,66.2770464642354,-0.0843505859367705,0,0
12,3.22468439999667,0,0.0707807333327785,1.4167614438581,avoid,1,65.9444895491234,-2.48483419418122,0,0
13,3.05651321903423,0,0.0427522031723719,-5.3071325561419,avoid,1,65.6496710993634,-3.53021478653046,0,0
14,2.87798462370779,0,0.0129974372846322,-12.0058805561419,avoid,1,65.3697762498939,-3.39135980606015,0,0
15,2.70199715079152,0.0490014246042407,0,-14.1978894744067,avoid,7,65.1160213608421,-2.19116306304926,0,0
16,2.54773096823459,0.126134515882704,0,-20.7448734744067,avoid,2,64.8984055158887,0.0332642793673816,0,0
17,2.43035261786722,0.184823691066388,0,-27.3638874744067,avoid,2,64.7179593669593,2.59454619884725,0,0
18,2.33293967436864,0.233530162815678,0,-33.9734994744067,avoid,2,64.574978815966,5.99496650695796,0,0
19,2.26174270090922,0.269128649545392,0,-27.3213354744067,avoid,10,64.4764863668283,10.4160585403366,0,0
20,2.37085319827931,0.214573400860346,0,-20.7061734744067,avoid,11,64.4141464111934,14.9485654830947,0,0
21,2.49864981724563,0.150675091377183,0,-14.1987714744067,avoid,11,64.3421798573559,18.8081302642804,0,0
22,2.58596476421262,0.107017617893691,0,-7.54027147440666,avoid,11,64.2511884050899,21.6491184234599,0,0
23,2.60986336034556,0.0950683198272182,0,-0.920249474406662,avoid,15,64.1304918652292,23.6417770385731,0,0
24,2.58015533108777,0.109922334456115,0,5.65866052559334,avoid,15,64.0085402259706,24.6854038238529,0,0
25,2.52882634973246,0.135586825133769,0,12.3303605255933,avoid,8,63.8696774602223,24.4492015838601,0,0
26,2.46671954707308,0.166640226463459,0,18.9358745255933,avoid,8,63.6983918678366,23.0449295043942,0,0
