tick,actorId,blueprint,intent,distanceToEgo,originalTargetVx,originalTargetVy,appliedTargetVx,appliedTargetVy,actualVx,actualVy,clampActive,newCollisionEvent,recoveryState,recoveryTicks,recoveryActivationCount,recoveryTimeoutCount
1,152,vehicle.tesla.model3,straight_through,62.9857823462342,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,0,0,0,0,normal,0,0,0
1,153,vehicle.harley-davidson.low_rider,turn_left,71.7264293875877,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,0,0,0,0,normal,0,0,0
1,154,vehicle.diamondback.century,roadside_edge,59.7724312263718,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0,0,0,0,normal,0,0,0
1,155,vehicle.carlamotors.carlacola,slow_through,72.0572217738639,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0,0,0,0,normal,0,0,0
1,156,vehicle.bh.crossbike,roadside_edge,79.3090925960581,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,0,0,0,0,normal,0,0,0
1,157,vehicle.audi.tt,turn_right,69.5202014967833,-0.0251325758622358,-3.99992104342455,-0.0251325758622358,-3.99992104342455,0,0,0,0,normal,0,0,0
1,158,vehicle.mitsubishi.fusorosa,straight_through,101.938187479631,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-0.000724212964996696,0.000989148276858032,0,0,normal,0,0,0
1,159,vehicle.vespa.zx125,informal_merge,115.201175481627,-3.49964156280027,0.0500892395720218,-3.49964156280027,0.0500892395720218,0,0,0,0,normal,0,0,0
1,160,vehicle.nissan.micra,turn_right,76.4930968958815,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-2.4204432964325,0.0707499533891678,0,0,normal,0,0,0
1,161,vehicle.yamaha.yzf,following_ego_lane,14.9938809104628,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,0,0,0,0,normal,0,0,0
2,152,vehicle.tesla.model3,straight_through,60.6426090105259,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,0.0307304281741381,4.87150096893311,0,0,normal,0,0,0
2,153,vehicle.harley-davidson.low_rider,turn_left,69.4625151898052,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,0.0213946830481291,3.40456962585449,0,0,normal,0,0,0
2,154,vehicle.diamondback.century,roadside_edge,58.8782623738934,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0.0132592245936394,2.11052417755127,0,0,normal,0,0,0
2,155,vehicle.carlamotors.carlacola,slow_through,71.0795554185256,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,-0.00157981284428388,-2.4753246307373,0,0,normal,0,0,0
2,156,vehicle.bh.crossbike,roadside_edge,77.7595847599854,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,-0.0168928187340498,-2.68892621994019,0,0,normal,0,0,0
2,157,vehicle.audi.tt,turn_right,68.4027959498943,-0.0251325758622358,-3.99992104342455,-0.0251325758622358,-3.99992104342455,-0.0244993269443512,-3.89923310279846,0,0,normal,0,0,0
2,158,vehicle.mitsubishi.fusorosa,straight_through,99.441296651295,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,-0.0614311099052429,-0.0811449736356735,0,0,normal,0,0,0
2,159,vehicle.vespa.zx125,informal_merge,112.424098917249,-3.49964156280027,0.0500892395720218,-3.49964156280027,0.0500892395720218,-2.65463352203369,0.0379957854747772,0,0,normal,0,0,0
2,160,vehicle.nissan.micra,turn_right,75.9993104920703,-0.291560256986671,3.98935992567052,-0.291560256986671,3.98935992567052,-0.488027065992355,0.0155128901824355,0,0,normal,0,0,0
2,161,vehicle.yamaha.yzf,following_ego_lane,19.193589594223,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,3.99413108825684,-0.0907324329018593,0,0,normal,0,0,0
3,152,vehicle.tesla.model3,straight_through,60.2414991287131,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,0.031485803425312,4.99330997467041,0,0,normal,0,0,0
3,153,vehicle.harley-davidson.low_rider,turn_left,69.0474752731007,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,0.0245494581758976,3.90659499168396,0,0,normal,0,0,0
3,154,vehicle.diamondback.century,roadside_edge,58.698974099247,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0.0172628406435251,2.74776220321655,0,0,normal,0,0,0
