tick,actorId,blueprint,intent,distanceToEgo,originalTargetVx,originalTargetVy,appliedTargetVx,appliedTargetVy,actualVx,actualVy,clampActive,newCollisionEvent,recoveryState
1,110,vehicle.tesla.model3,straight_through,62.9857823462342,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,0,0,0,0,normal
1,111,vehicle.harley-davidson.low_rider,turn_left,71.7263775172665,0.0251325758622363,3.99992104342455,0.0251325758622363,3.99992104342455,0,0,0,0,normal
1,112,vehicle.diamondback.century,roadside_edge,59.7724329578174,0.0188494318966772,2.99994078256841,0.0188494318966772,2.99994078256841,0,0,0,0,normal
1,113,vehicle.carlamotors.carlacola,slow_through,72.0572424531895,-0.0157078599138974,-2.49995065214034,-0.0157078599138974,-2.49995065214034,0,0,0,0,normal
1,114,vehicle.bh.crossbike,roadside_edge,79.3090925960581,-0.0188494318966768,-2.99994078256841,-0.0188494318966768,-2.99994078256841,0,0,0,0,normal
1,115,vehicle.audi.tt,turn_right,69.5202014967833,-0.0251325758622358,-3.99992104342455,-0.0251325758622358,-3.99992104342455,0,0,0,0,normal
1,116,vehicle.mitsubishi.fusorosa,straight_through,99.3603782515463,-4.99948794685753,0.0715560565314597,-4.99948794685753,0.0715560565314597,0,0,0,0,normal
1,117,vehicle.vespa.zx125,informal_merge,115.201175481627,-3.49964156280027,0.0500892395720218,-3.49964156280027,0.0500892395720218,0,0,0,0,normal
1,118,vehicle.nissan.micra,turn_right,88.7080576122042,-3.99959035748602,0.0572448452251677,-3.99959035748602,0.0572448452251677,-0.663992583751678,0.0233220160007477,0,0,normal
1,119,vehicle.yamaha.yzf,following_ego_lane,14.9939544165931,5.49858435127484,-0.124780334650297,5.49858435127484,-0.124780334650297,0,0,0,0,normal
2,110,vehicle.tesla.model3,straight_through,58.848608211254,0.0314157198277953,4.99990130428069,0.0314157198277953,4.99990130428069,0.0269965473562479,4.6219654083252,0,0,normal
