tick,timestamp,actorId,actorType,impulseMagnitude,egoX,egoY,egoYawDeg
507,715.184355966747,225,static.prop.trashcan01,2948.27260361148,-7.31175899505615,108.405807495117,-51.1887092590332
507,715.198726266623,225,static.prop.trashcan01,323.087016436398,-7.30115842819214,108.408210754395,-51.3937950134277
510,715.469706367701,225,static.prop.trashcan01,15.2481274705113,-7.29765319824219,108.409736633301,-51.4882698059082
510,715.483242165297,225,static.prop.trashcan01,5.26877991049586,-7.29769659042358,108.409774780273,-51.4889068603516
510,715.495944466442,225,static.prop.trashcan01,2.19607282476611,-7.29772853851318,108.409805297852,-51.4894828796387
510,715.508742865175,225,static.prop.trashcan01,24.8508371729332,-7.2977557182312,108.409812927246,-51.4897613525391
510,715.521785065532,225,static.prop.trashcan01,3.41789706158543,-7.29777860641479,108.409851074219,-51.4902229309082
511,715.536780767143,225,static.prop.trashcan01,2.76106123524715,-7.29780244827271,108.409873962402,-51.4905204772949
511,715.550644166768,225,static.prop.trashcan01,1.52752761560039,-7.29782867431641,108.409889221191,-51.4909248352051
511,715.564326766878,225,static.prop.trashcan01,11.7009458977159,-7.29785060882568,108.409896850586,-51.4912338256836
511,715.577674668282,225,static.prop.trashcan01,5.33007603826042,-7.29787158966064,108.40991973877,-51.4914016723633
511,715.591367866844,225,static.prop.trashcan01,6.93305715751131,-7.29789161682129,108.409942626953,-51.4917793273926
511,715.605109468102,225,static.prop.trashcan01,6.79780188972164,-7.29791116714478,108.409942626953,-51.4919242858887
511,715.632823567837,225,static.prop.trashcan01,3.09722486324351,-7.29794979095459,108.409957885742,-51.4922790527344
511,715.646388567984,225,static.prop.trashcan01,1.97913156819272,-7.2979679107666,108.409965515137,-51.492603302002
512,715.659634266049,225,static.prop.trashcan01,1.21607604921697,-7.29798364639282,108.409980773926,-51.4928512573242
512,715.700427465141,225,static.prop.trashcan01,1.17852367359078,-7.29802656173706,108.409996032715,-51.4932098388672
512,715.713551167399,225,static.prop.trashcan01,12.6190151816631,-7.29804134368896,108.409996032715,-51.4933929443359
512,715.726616166532,225,static.prop.trashcan01,2.47560236350877,-7.29805469512939,108.410003662109,-51.4936141967773
512,715.740098867565,225,static.prop.trashcan01,0.347378457317632,-7.29806661605835,108.410018920898,-51.4938545227051
512,715.753842066973,225,static.prop.trashcan01,11.0942645034405,-7.29807710647583,108.410018920898,-51.4939460754395
513,715.766888365149,225,static.prop.trashcan01,3.34209918195543,-7.29808807373047,108.410034179688,-51.4941329956055
513,715.793352868408,225,static.prop.trashcan01,6.76914096379504,-7.29810762405396,108.410026550293,-51.4942436218262
513,715.819186165929,225,static.prop.trashcan01,1.68843209641824,-7.29812622070312,108.410034179688,-51.4944343566895
513,715.832916565239,225,static.prop.trashcan01,1.84559211990182,-7.29813575744629,108.410049438477,-51.4945907592773
513,715.848778866231,225,static.prop.trashcan01,1.28624539803617,-7.29814481735229,108.410049438477,-51.4947090148926
513,715.862180367112,225,static.prop.trashcan01,12.115534660072,-7.29815483093262,108.410034179688,-51.4947738647461
513,715.876241665334,225,static.prop.trashcan01,3.45368253737958,-7.29816198348999,108.410057067871,-51.4948921203613
514,715.903020065278,225,static.prop.trashcan01,2.45937772481032,-7.29816961288452,108.410057067871,-51.4949607849121
514,715.917026866227,225,static.prop.trashcan01,1.79448443648053,-7.29817533493042,108.410049438477,-51.4950485229492
514,715.929917667061,225,static.prop.trashcan01,2.33522471610681,-7.29817962646484,108.410049438477,-51.4951133728027
514,715.944081768394,225,static.prop.trashcan01,1.99306860979462,-7.29818391799927,108.410049438477,-51.495174407959
514,715.958645764738,225,static.prop.trashcan01,2.05609266578445,-7.29818868637085,108.410049438477,-51.495231628418
514,715.972837567329,225,static.prop.trashcan01,2.20267326375612,-7.29819393157959,108.410049438477,-51.4953193664551
514,715.9864644669,225,static.prop.trashcan01,3.96303634651949,-7.29819869995117,108.410049438477,-51.4953193664551
515,715.999732565135,225,static.prop.trashcan01,4.33523204405136,-7.29820251464844,108.410049438477,-51.4953804016113
515,716.013620566577,225,static.prop.trashcan01,4.55637113206173,-7.29820537567139,108.410049438477,-51.4954452514648
515,716.026949167252,225,static.prop.trashcan01,3.89865131889101,-7.29820823669434,108.410049438477,-51.495532989502
515,716.040145866573,225,static.prop.trashcan01,13.0649269553239,-7.29821014404297,108.410049438477,-51.4955940246582
515,716.053998164833,225,static.prop.trashcan01,1.8018709668205,-7.29820919036865,108.410057067871,-51.4957466125488
515,716.069022867829,225,static.prop.trashcan01,1.25582000650169,-7.29821109771729,108.410057067871,-51.4957695007324
515,716.082384467125,225,static.prop.trashcan01,1.66611089474756,-7.29821348190308,108.410057067871,-51.4958381652832
515,716.096282865852,225,static.prop.trashcan01,1.91246245961372,-7.29821586608887,108.410057067871,-51.4958992004395
516,716.109992668033,225,static.prop.trashcan01,1.872047138876,-7.29821825027466,108.410057067871,-51.4959259033203
516,716.12309666723,225,static.prop.trashcan01,2.34318755446396,-7.29822015762329,108.410057067871,-51.4959945678711
516,716.136467065662,225,static.prop.trashcan01,4.15245417537893,-7.29822063446045,108.410057067871,-51.4959945678711
516,716.149749666452,225,static.prop.trashcan01,3.95834649854401,-7.29822111129761,108.410057067871,-51.4960556030273
516,716.162996165454,225,static.prop.trashcan01,2.30241003753341,-7.2982177734375,108.410064697266,-51.4962348937988
516,716.176780868322,225,static.prop.trashcan01,1.82922239927719,-7.29821586608887,108.410064697266,-51.4962348937988
516,716.193121366203,225,static.prop.trashcan01,0.861212588249393,-7.29821586608887,108.410064697266,-51.4963569641113
516,716.207373864949,225,static.prop.trashcan01,2.40809598253462,-7.2982177734375,108.410064697266,-51.4964218139648
517,716.220439165831,225,static.prop.trashcan01,3.54027172977974,-7.29822063446045,108.410064697266,-51.4964485168457
517,716.234521266073,225,static.prop.trashcan01,2.8006952331896,-7.29822492599487,108.410064697266,-51.4964485168457
517,716.248499467969,225,static.prop.trashcan01,2.58600257285867,-7.29822969436646,108.410064697266,-51.4964485168457
517,716.291092567146,225,static.prop.trashcan01,5.48294290078882,-7.29824209213257,108.410057067871,-51.4964485168457
517,716.304075565189,225,static.prop.trashcan01,4.22297267459089,-7.29824733734131,108.410057067871,-51.4964485168457
517,716.318790566176,225,static.prop.trashcan01,3.04997721622777,-7.29824733734131,108.410057067871,-51.4964485168457
518,716.332028366625,225,static.prop.trashcan01,2.60890795538145,-7.29825115203857,108.410057067871,-51.4964828491211
518,716.385446466506,225,static.prop.trashcan01,5.8958510118435,-7.29826164245605,108.410049438477,-51.4964485168457
518,716.400427665561,225,static.prop.trashcan01,4.49826253569613,-7.29826498031616,108.410049438477,-51.4964828491211
521,716.733951266855,225,static.prop.trashcan01,45.304227077849,-7.29866170883179,108.410385131836,-51.4987678527832
521,716.747943766415,225,static.prop.trashcan01,5.85544684136247,-7.29844236373901,108.409996032715,-51.5027122497559
522,716.761274967343,225,static.prop.trashcan01,18.1738009130862,-7.2983455657959,108.409942626953,-51.5051460266113
522,716.775248166174,225,static.prop.trashcan01,105.818197766414,-7.29833602905273,108.409957885742,-51.5053291320801
522,716.816405367106,225,static.prop.trashcan01,63.4479232492821,-7.29805326461792,108.41007232666,-51.5109786987305
522,716.829784866422,225,static.prop.trashcan01,46.8573165381637,-7.29796409606934,108.41007232666,-51.5071830749512
522,716.843279067427,225,static.prop.trashcan01,44.6714851072749,-7.29789161682129,108.410087585449,-51.5102729797363
522,716.856826964766,225,static.prop.trashcan01,34.7933174176827,-7.29787874221802,108.410064697266,-51.5136604309082
523,716.87111056596,225,static.prop.trashcan01,13.4467362537022,-7.29782962799072,108.410125732422,-51.5075263977051
