tick,egoSpeed,throttle,brake,steerDeg,decisionState,selectedCandidate,goalDistance,headingErrorDeg,collisionCount,newCollisionCount
1,0,1,0,7.39632861247437e-13,cruise,8,68.3676134437532,1.79939881103798e-12,0,0
2,4.51345798384248e-08,1,0,7.39632861247437e-13,merge,8,68.3676134437532,1.79939881103798e-12,0,0
3,0.661473602927973,1,0,-0.000701589499225853,merge,8,68.3523502293644,-0.000366330144990274,0,0
4,3.54638881284597,0,0.0577314688076617,-0.000211699354916077,merge,8,67.843647432991,-0.000427246096512273,0,0
5,4.66541853306766,0,0.31090308884461,9.86836630064508,avoid,15,67.3001816826172,-0.000244140626744966,0,0
6,4.61270349004422,0,0.768783915007369,30.4560643006451,emergency_stop,15,65.8111249486827,-0.447174191475936,0,0
7,4.28923862632358,0,0.714873104387263,35,emergency_stop,15,65.4641963173692,-2.30539011955191,0,0
8,3.78340360383984,0,0.630567267306639,34.6113720958954,emergency_stop,15,65.0975159142176,-5.58426523208835,0,0
9,3.04654313871361,0,0.507757189785602,32.7854124397627,emergency_stop,15,64.6475623494483,-12.1412248611471,0,0
10,2.7252941771794,0,0.454215696196567,26.6998044397627,emergency_stop,15,64.4156771534247,-16.8947486877448,0,0
11,2.14827950363536,0,0.358046583939226,20.0257704397627,emergency_stop,1,64.1426004260348,-22.9451408386281,0,0
12,1.67808581207542,0,0.279680968679236,14.0114304397627,emergency_stop,1,63.9901317804209,-26.0451488494912,0,0
13,1.04490560666576,0,0.174150934444293,7.67560443976274,emergency_stop,1,63.863992552382,-28.020780563352,0,0
14,0.000266578308781888,0,4.44297181303147e-05,-2.59311956023726,emergency_stop,8,63.8449868847374,-28.2291316986066,0,0
15,0.000343106715942014,0,5.71844526570023e-05,-8.77223756023726,emergency_stop,8,63.8446336617554,-28.2281169891339,0,0
16,0.000237911781567552,0,3.96519635945919e-05,-15.1415975602373,emergency_stop,8,63.8444427787979,-28.2275371551496,0,0
17,5.5700737059733e-05,0,9.28345617662217e-06,-21.6808535602373,emergency_stop,8,63.8443623810759,-28.2272396087628,0,0
18,7.61452865072825e-05,0,1.26908810845471e-05,-28.1761475602373,emergency_stop,8,63.8443240007729,-28.2271137237531,0,0
19,4.40424081910913e-05,0,7.34040136518189e-06,-34.7590415602373,emergency_stop,8,63.8442882103238,-28.226989746092,0,0
20,2.24742530239734e-05,0.299988762873488,0,-35,brake,8,63.8442762801774,-28.2269630432111,0,0
21,0.0183515040649654,0.290824247967517,0,-35,brake,8,63.8443442240374,-28.2233009338361,0,0
22,0.0240946960702229,0.287952651964889,0,-35,brake,8,63.8438533762337,-28.2157306671125,0,0
23,0.143362397612994,0.228318801193503,0,-35,brake,2,63.8373091282902,-28.0198993682856,0,0
24,0.301617742582568,0.149191128708716,0,-35,brake,5,63.8176358742955,-27.4279747009375,0,0
25,0.334323926198171,0.132838036900915,0,-35,brake,6,63.7970276433258,-26.7821540832506,0,0
26,0.404679294293376,0.0976603528533121,0,-35,brake,2,63.7625069218299,-25.7060661315913,0,0
27,0.472614956948452,0.063692521525774,0,-35,brake,1,63.7346291769724,-24.827983856201,0,0
28,0.463114253377907,0.0684428733110465,0,-35,brake,1,63.6978965916688,-23.5724563598631,0,0
29,0.468521616237253,0.0657391918813736,0,-35,brake,4,63.6696815704786,-22.5736808776846,0,0
30,0.46506419208964,0.0674679039551802,0,-35,brake,2,63.642373763623,-21.58564376831,0,0
31,0.46055826660539,0.0697208666973051,0,-35,brake,2,63.6066720140725,-20.2614326477046,0,0
32,0.459863635194043,0.0700681824029784,0,-35,brake,1,63.5888988379448,-19.5881862640379,0,0
33,0.440926779202268,0.0795366103988661,0,-35,brake,6,63.5621912039535,-18.5823650360199,0,0
34,0.446158872463326,1,0,-35,avoid,6,63.5162124952058,-16.7880649566742,0,0
35,0.489429470808019,1,0,-35,avoid,6,63.4913554686521,-15.8072013855077,0,0
36,0.790932400929171,1,0,-35,avoid,5,63.4479382493055,-14.1393604278492,0,0
37,1.40417426624097,0.697912866879517,0,-35,avoid,6,63.3730576316134,-11.2450456619141,0,0
38,1.92045887107177,0.439770564464114,0,-35,avoid,1,63.2926044918886,-8.01261520385035,0,0
39,2.5438777636294,0.128061118185302,0,-35,avoid,1,63.1428938982812,-1.18530297279272,0,0
40,2.87711881156268,0,0.0128531352604473,-24.622796,avoid,14,62.9968369130973,7.82272577285799,0,0
41,2.98353408167072,0,0.030589013611787,-17.182022,avoid,12,62.913628255781,15.4870109558122,0,0
42,2.96956516612422,0,0.0282608610207036,-9.00914,avoid,15,62.8080079971418,21.0622940063447,0,0
43,2.73407737223969,0.0329613138801546,0,-1.485986,avoid,15,62.6009395761706,25.6840705871527,0,0
44,2.40573416302452,0.197132918487742,0,26.999428,avoid,15,62.3501081399686,28.2666244506872,0,0
45,2.09502827263903,0.352485863680486,0,35,avoid,15,62.0115572181523,28.7006988525404,0,0
46,2.0228496200365,0.48857518998175,0,35,replan,10,61.8818349407768,27.144815444947,0,0
47,2.425942900555,0.287028549722502,0,35,replan,10,61.1385961337667,10.1596660614044,0,0
48,2.73992658107542,0.130036709462288,0,35,replan,15,60.7546725258013,1.3628544062408,0,0
49,2.84282988479403,0,0.00713831413233897,35,avoid,15,60.341408827392,-7.84299755096499,0,0
50,2.60143995312658,0.0992800234367104,0,24.044906,avoid,10,59.8443396333096,-19.3150882720965,0,0
51,2.49337532716983,0.153312336415087,0,15.268418,avoid,9,59.527697679981,-26.8449344634982,0,0
52,2.51354001531728,0.14322999234136,0,6.335078,avoid,9,59.1453993531356,-31.7764739990268,0,0
53,2.54229145229095,0.128854273854526,0,-2.336638,avoid,9,58.8348787705341,-34.2301712036174,0,0
54,2.52652629067467,0.136736854662663,0,-10.316902,avoid,1,58.5138128929278,-35.1191902160624,0,0
55,2.47885294709825,0.160573526450877,0,-18.368878,avoid,9,58.1284108523253,-34.16387939453,0,0
56,2.40306139327566,0.198469303362169,0,-27.296308,avoid,9,57.8094213322483,-31.9500312805176,0,0
57,2.32410504010268,0.237947479948661,0,-35,avoid,8,57.4823930763208,-27.7983646392793,0,0
58,2.28428454127263,0.257857729363684,0,-35,avoid,8,57.2631239524509,-23.2723159790038,0,0
59,2.24427933868361,0.277860330658194,0,-35,avoid,8,57.094183732597,-17.8586788177509,0,0
60,2.30929054069625,0.245354729651876,0,-35,avoid,1,56.9242445949265,-10.9897975921604,0,0
61,2.39245286597548,0.203773567012258,0,-35,avoid,1,56.7872360812617,-4.14920282363951,0,0
62,2.44480430696424,0.17759784651788,0,-35,avoid,5,56.6877607490084,2.42678010463479,0,0
63,2.48142222049042,0.159288889754791,0,-27.324752,avoid,5,56.6231478287694,8.87900161742768,0,0
64,2.55791979402536,0.12104010298732,0,-20.337206,avoid,5,56.5863469678586,14.2243947982769,0,0
65,2.59158126796876,0.104209366015618,0,-6.456254,avoid,7,56.5088900308652,19.8277397155767,0,0
66,2.57165896936181,0.114170515319093,0,5.291356,avoid,5,56.4067057338302,25.3965282440191,0,0
67,2.53998957156881,0.130005214215594,0,14.727514,avoid,5,56.2891757399629,26.4571704864489,0,0
68,2.47389110015273,0.163054449923633,0,23.229322,avoid,8,56.1193919177915,25.2027015686007,0,0
69,2.37055051939206,0.214724740303969,0,17.7182151403792,avoid,4,55.9055120085161,22.0669651031469,0,0
70,2.41084308540601,0.194578457296995,0,30.6179511403792,avoid,8,55.6131831389684,17.3106937408439,0,0
71,2.45319713351184,0.173401433244081,0,19.6160691403792,avoid,2,55.3258615562028,12.9930915832504,0,0
72,2.45201759773725,0.173991201131377,0,11.1037911403792,avoid,1,55.0538239944998,8.35124874114974,0,0
73,2.5116247584803,0.144187620759851,0,18.8777691403792,avoid,13,54.8126280153268,5.27115774154656,0,0
74,2.5073742594552,0.146312870272399,0,26.2524531403792,avoid,15,54.5871930429789,3.19258224963851,0,0
75,2.43647927198004,0.181760364009982,0,32.9770971403792,avoid,11,54.3650130814226,0.344238400460101,0,0
