frame,timestamp,otherActorId,otherActorType,impulseMagnitude,egoX,egoY,egoYawDeg
197900,1450.24209295213,246,vehicle.yamaha.yzf,3435.79510835043,-52.2434616088867,135.155334472656,-1.30126941204071
197901,1450.25540795177,246,vehicle.yamaha.yzf,1711.81505068944,-52.0664291381836,135.151504516602,-1.28710925579071
197930,1450.68229505047,246,vehicle.yamaha.yzf,329.076438807357,-47.2685279846191,135.061859130859,-1.02737426757812
197932,1450.71346335113,246,vehicle.yamaha.yzf,14.5030578045832,-46.7609748840332,135.053329467773,-0.966033756732941
197933,1450.72706925124,246,vehicle.yamaha.yzf,117.444524821609,-46.5830230712891,135.050582885742,-0.936706364154816
197934,1450.74005285278,246,vehicle.yamaha.yzf,2.10804345806378,-46.4046096801758,135.047897338867,-0.916930973529816
197935,1450.75284345075,246,vehicle.yamaha.yzf,7.96563143453659,-46.2332763671875,135.045333862305,-0.90103143453598
197936,1450.76595315337,246,vehicle.yamaha.yzf,95.2085281536793,-46.063549041748,135.042831420898,-0.88644403219223
197937,1450.77943965048,246,vehicle.yamaha.yzf,62.8899021836412,-45.8899612426758,135.04035949707,-0.870879888534546
197938,1450.79273075238,246,vehicle.yamaha.yzf,19.216956790306,-45.7115287780762,135.037933349609,-0.846923768520355
197939,1450.80611435324,246,vehicle.yamaha.yzf,18.9600894620136,-45.5349006652832,135.035568237305,-0.823822021484375
197940,1450.81966905296,246,vehicle.yamaha.yzf,19.8072491045863,-45.3562507629395,135.033233642578,-0.801177978515625
197941,1450.91703615338,246,vehicle.yamaha.yzf,26.2812213763046,-45.1744918823242,135.03092956543,-0.77813720703125
197942,1450.94876245037,246,vehicle.yamaha.yzf,22.4639470053099,-43.8417510986328,135.015625,-0.605255126953125
197943,1450.98215585202,246,vehicle.yamaha.yzf,54.0014985081784,-43.3969078063965,135.01123046875,-0.53335577249527
197944,1450.99995215237,246,vehicle.yamaha.yzf,39.4277359998448,-42.9238891601562,135.007171630859,-0.414794892072678
197960,1451.21642815322,246,vehicle.yamaha.yzf,16.390615825908,-39.6170120239258,134.992980957031,-0.0185241680592299
197961,1451.22932815179,246,vehicle.yamaha.yzf,6.33328505845942,-39.4104385375977,134.992553710938,-0.0121154775843024
197962,1451.2427517511,246,vehicle.yamaha.yzf,7.652965506076,-39.206657409668,134.992172241211,-0.00543212890625
197963,1451.25558045134,246,vehicle.yamaha.yzf,44.9440082782408,-38.9939804077148,134.991897583008,0.0114389508962631
