0.1,0.3740155,0.0117048,0.0225232020020485,17.7845081
17.7809012,0.3266138,0.0920069,0.0201449990272522,0.3399166
0.338254,0.1830981,0.0672355,0.0151533968746662,0.1920628
0.187364,0.1365342,0.0840019,0.0155070014297962,0.1420769
0.1443672,0.1909582,0.0624596,0.0272428020834923,0.203052
0.2014302,0.1084189,0.0734306,0.0319143980741501,0.1103873
0.1107526,0.0975908,0.0609401,0.0259348005056381,0.0994142
0.1019565,0.100499,0.0728671,0.0283133015036583,0.1019499
0.1058528,0.0944202,0.0652995,0.0273078978061676,0.0957282
0.1020604,0.1073249,0.0601376,0.0149248018860817,0.1086954
0.1009408,0.090928,0.066666,0.014665100723505,1.704558
1.6993319,0.1845094,0.0768617,0.0296805985271931,0.1872022
0.1868408,0.113409,0.0833035,0.0185437016189098,0.1144389
0.1150417,0.106164,0.0813599,0.0462675988674164,0.1077483
0.1074569,0.1056485,0.0736168,0.0160595998167992,0.1069048
0.1064778,0.099938,0.0754625,0.045897301286459,0.1007742
0.1014315,0.112646,0.0852153,0.0152654983103275,0.1141514
0.1136626,0.1006541,0.0805299,0.0301543995738029,0.1016305
0.101503,0.1301472,0.0882354,0.0304955989122391,0.1310084
0.1310208,0.1078131,0.0776446,0.0140533000230789,0.1086975
0.1087973,0.1219912,0.0944415,0.0298608019948006,1.27626
1.2769261,0.1312781,0.1015354,0.0288095995783806,0.1330232
0.132616,0.1453191,0.1017891,0.0318762995302677,0.146532
0.1461257,0.1335639,0.0973435,0.0325963012874126,0.1344939
0.1351837,0.1272482,0.100922,0.0466531030833721,0.1287446
0.128104,0.0909991,0.0734876,0.0238991975784302,0.0918703
0.2557225,0.3018431,0.0937021,0.0325177982449532,0.3027758
0.1391169,0.1260419,0.1010415,0.0144673995673656,0.1272068
0.1268964,0.1172921,0.0872487,0.0158243998885155,0.1182549
0.1182765,0.1111435,0.0863096,0.0139302983880043,0.1121352
0.1135903,0.1245228,0.0925891,0.0564048029482365,1.4550796
1.4539466,0.1237489,0.0895485,0.013542901724577,0.1249054
