config,switch_rate,mean_cte,max_cte,max_head_deg,steer_sat_pct,rate_sat_pct,completed
production,0,0.0306284642086688,0.196206157042526,3.85823748730431,0,0,1
fixed3,0,0.0182855466088071,0.12232060994242,3.18008711851048,0,0,1
fixed4,0,0.0306284642086664,0.196206157042526,3.85823748730431,0,0,1
fixed5,0,0.0519421539988334,0.311534688758289,4.79226503958594,0,0,1
fixed6,0,0.0791022528067703,0.421973372636032,5.83055933216373,0,0,1
fixed7,0,0.117583467946597,0.555415125910069,6.84251432555873,0,0,1
production,0.24,1.15522552815573,3.28144984082432,60.9280696569582,17.2690763052209,59.8393574297189,1
fixed3,0.24,2.35334305283945,5.96270668799387,84.3090201873015,44.7852760736196,45.398773006135,1
fixed4,0.24,1.22667079386899,3.76234374838513,65.3609664618393,16.6666666666667,58.3333333333333,1
fixed5,0.24,0.694063372450255,1.88176438697477,33.0581092291028,0,41.3793103448276,1
fixed6,0.24,0.524551161782741,1.59040315653153,23.7065351885831,0,30.4347826086957,1
fixed7,0.24,0.410008084888416,1.1764097336399,18.2108154551035,0,26.6375545851528,1
